,image,name,author,book_depository_stars,price,isbn,category,img_paths
7900,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036144.jpg,1984,George Orwell,4.0,7.88,9780141036144,Crime-Thriller,dataset/Crime-Thriller/0000001.jpg
7901,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,4.5,9.66,9781846041242,Crime-Thriller,dataset/Crime-Thriller/0000002.jpg
7902,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036137.jpg,Animal Farm,George Orwell,4.0,7.98,9780141036137,Crime-Thriller,dataset/Crime-Thriller/0000003.jpg
7903,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405911665.jpg,The Husband's Secret,Liane Moriarty,4.0,9.33,9781405911665,Crime-Thriller,dataset/Crime-Thriller/0000004.jpg
7904,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780221359.jpg,Gone Girl,Gillian Flynn,4.0,9.55,9781780221359,Crime-Thriller,dataset/Crime-Thriller/0000005.jpg
7905,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099560432.jpg,Ready Player One,Ernest Cline,4.5,8.82,9780099560432,Crime-Thriller,dataset/Crime-Thriller/0000006.jpg
7906,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349142111.jpg,The Dry,Jane Harper,4.0,8.64,9780349142111,Crime-Thriller,dataset/Crime-Thriller/0000007.jpg
7907,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749942014.jpg,Sister,Rosamund Lupton,4.0,8.04,9780749942014,Crime-Thriller,dataset/Crime-Thriller/0000008.jpg
7908,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4463/9780446310789.jpg,To Kill a Mockingbird,Harper Lee,4.5,8.54,9780446310789,Crime-Thriller,dataset/Crime-Thriller/0000009.jpg
7909,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330519021.jpg,Room,Emma Donoghue,4.0,8.05,9780330519021,Crime-Thriller,dataset/Crime-Thriller/0000010.jpg
7910,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349117546.jpg,Shantaram,Gregory David Roberts,4.5,11.72,9780349117546,Crime-Thriller,dataset/Crime-Thriller/0000011.jpg
7911,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405916363.jpg,Big Little Lies,Liane Moriarty,4.5,9.55,9781405916363,Crime-Thriller,dataset/Crime-Thriller/0000012.jpg
7912,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406372151.jpg,The Hate U Give,Angie Thomas,4.5,8.0,9781406372151,Crime-Thriller,dataset/Crime-Thriller/0000013.jpg
7913,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5527/9780552779777.jpg,The Girl on the Train,Paula Hawkins,4.0,9.65,9780552779777,Crime-Thriller,dataset/Crime-Thriller/0000014.jpg
7914,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,4.5,8.4,9781509868087,Crime-Thriller,dataset/Crime-Thriller/0000015.jpg
7915,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5101/9781510106284.jpg,Six of Crows: Collector's Edition,Leigh Bardugo,4.5,14.51,9781510106284,Crime-Thriller,dataset/Crime-Thriller/0000016.jpg
7916,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753827666.jpg,Gone Girl,Gillian Flynn,4.0,9.18,9780753827666,Crime-Thriller,dataset/Crime-Thriller/0000017.jpg
7917,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8041/9780804138321.jpg,Sharp Objects,Gillian Flynn,4.0,8.25,9780804138321,Crime-Thriller,dataset/Crime-Thriller/0000018.jpg
7918,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099470434.jpg,The Curious Incident of the Dog in the Night-time,Mark Haddon,4.0,8.7,9780099470434,Crime-Thriller,dataset/Crime-Thriller/0000019.jpg
7919,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751568356.jpg,Friend Request,Laura Marshall,4.0,5.23,9780751568356,Crime-Thriller,dataset/Crime-Thriller/0000020.jpg
7920,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780622286.jpg,Six of Crows,Leigh Bardugo,4.5,8.8,9781780622286,Crime-Thriller,dataset/Crime-Thriller/0000021.jpg
7921,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8484/9781848454125.jpg,Behind Closed Doors,B. A. Paris,4.0,8.39,9781848454125,Crime-Thriller,dataset/Crime-Thriller/0000022.jpg
7922,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099556756.jpg,Bloody Valentine,James Patterson,3.5,3.66,9780099556756,Crime-Thriller,dataset/Crime-Thriller/0000023.jpg
7923,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3458/9780345803481.jpg,Fifty Shades of Grey,E L James,3.5,10.61,9780345803481,Crime-Thriller,dataset/Crime-Thriller/0000024.jpg
7924,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3757/9780375703768.jpg,House of Leaves,Mark Z. Danielewski,4.0,20.51,9780375703768,Crime-Thriller,dataset/Crime-Thriller/0000025.jpg
7925,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6709/9780670919963.jpg,The Power,Naomi Alderman,4.0,9.04,9780670919963,Crime-Thriller,dataset/Crime-Thriller/0000026.jpg
7926,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7841/9781784161101.jpg,The Girl on the Train,Paula Hawkins,4.0,7.55,9781784161101,Crime-Thriller,dataset/Crime-Thriller/0000027.jpg
7927,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409170679.jpg,Thirteen,Steve Cavanagh,4.5,7.77,9781409170679,Crime-Thriller,dataset/Crime-Thriller/0000028.jpg
7928,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7874/9781787460614.jpg,Mindhunter,John Douglas,4.0,10.01,9781787460614,Crime-Thriller,dataset/Crime-Thriller/0000029.jpg
7929,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141182704.jpg,Animal Farm,George Orwell,4.0,8.24,9780141182704,Crime-Thriller,dataset/Crime-Thriller/0000030.jpg
7930,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0626/9780062654199.jpg,The Alice Network,Kate Quinn,4.5,9.96,9780062654199,Crime-Thriller,dataset/Crime-Thriller/0000031.jpg
7931,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141187761.jpg,Nineteen Eighty-Four,George Orwell,4.0,9.3,9780141187761,Crime-Thriller,dataset/Crime-Thriller/0000032.jpg
7932,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447233176.jpg,Burial Rites,Hannah Kent,4.0,7.93,9781447233176,Crime-Thriller,dataset/Crime-Thriller/0000033.jpg
7933,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751554144.jpg,I See You,Clare Mackintosh,4.0,8.79,9780751554144,Crime-Thriller,dataset/Crime-Thriller/0000034.jpg
7934,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7832/9781783295401.jpg,A Darker Shade of Magic,V. E. Schwab,4.0,8.39,9781783295401,Crime-Thriller,dataset/Crime-Thriller/0000035.jpg
7935,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408889510.jpg,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,4.0,10.06,9781408889510,Crime-Thriller,dataset/Crime-Thriller/0000036.jpg
7936,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0071/9780007119318.jpg,Murder on the Orient Express,Agatha Christie,4.0,5.91,9780007119318,Crime-Thriller,dataset/Crime-Thriller/0000037.jpg
7937,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340979495.jpg,The Shack,William P. Young,4.0,7.69,9780340979495,Crime-Thriller,dataset/Crime-Thriller/0000038.jpg
7938,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5750/9780575097582.jpg,Rivers of London,Ben Aaronovitch,4.0,8.09,9780575097582,Crime-Thriller,dataset/Crime-Thriller/0000039.jpg
7939,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3077/9780307743657.jpg,The Shining,Stephen King,4.0,9.98,9780307743657,Crime-Thriller,dataset/Crime-Thriller/0000040.jpg
7940,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9101/9781910192146.jpg,His Bloody Project,Graeme Macrae Burnet,4.0,8.42,9781910192146,Crime-Thriller,dataset/Crime-Thriller/0000041.jpg
7941,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853260155.jpg,The Picture of Dorian Gray,Oscar Wilde,4.0,3.59,9781853260155,Crime-Thriller,dataset/Crime-Thriller/0000042.jpg
7942,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5535/9780553505405.jpg,Killing Floor,Lee Child,4.0,9.69,9780553505405,Crime-Thriller,dataset/Crime-Thriller/0000043.jpg
7943,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5538/9780553811858.jpg,Tripwire,Lee Child,4.0,9.74,9780553811858,Crime-Thriller,dataset/Crime-Thriller/0000044.jpg
